,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
283,Draymond Green,Michigan State,,145,66,25.0,3.7,8.0,.467,3.1,6.3,.496,0.6,1.7,.361,2.3,3.4,.687,2.0,5.6,7.6,2.9,1.2,0.8,1.9,2.7,10.5,,9.76
284,Orlando Johnson,UCSB,,93,92,33.0,6.5,13.9,.468,4.5,9.1,.498,2.0,4.8,.411,4.7,6.3,.736,1.7,4.1,5.8,2.7,1.0,0.6,2.6,2.1,19.6,,
285,Quincy Acy,Baylor,,139,66,25.1,3.6,6.0,.602,3.6,6.0,.604,0.0,0.1,.429,2.5,3.6,.708,2.2,3.8,6.0,0.6,0.7,1.3,1.5,2.6,9.8,,7.20
286,Quincy Miller,Baylor,,37,35,24.4,3.7,8.4,.447,3.1,6.5,.475,0.6,1.9,.348,2.5,3.1,.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,,8.03
287,Khris Middleton,Texas A&M,,87,72,26.0,3.9,9.1,.431,2.9,5.8,.494,1.1,3.3,.321,2.4,3.1,.768,1.5,3.0,4.6,2.0,1.0,0.2,2.0,2.1,11.3,,7.42
288,Will Barton,Memphis,,70,59,32.9,5.7,12.0,.471,4.6,8.4,.546,1.1,3.6,.299,2.7,3.7,.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,,4.20
289,Tyshawn Taylor,Kansas,,146,126,27.7,3.8,7.9,.477,3.0,5.7,.518,0.8,2.2,.370,2.5,3.5,.708,0.3,1.9,2.2,3.9,1.2,0.2,2.6,2.1,10.8,,8.42
290,Doron Lamb,Kentucky,,78,49,29.8,4.3,8.9,.485,2.5,5.0,.492,1.8,3.9,.475,2.6,3.2,.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2.0,13.1,,8.42
291,Mike Scott,Eastern Kentucky,,55,33,22.9,1.9,5.0,.389,1.5,3.6,.429,0.4,1.4,.286,1.9,2.8,.677,1.5,2.1,3.5,2.0,1.3,0.1,1.6,2.9,6.2,,-5.05
292,Kim English,Missouri,,141,106,24.2,3.7,8.7,.420,2.0,4.4,.444,1.7,4.3,.394,2.1,2.9,.727,0.7,2.4,3.0,1.4,1.1,0.2,1.7,1.8,11.1,,6.32
293,Justin Hamilton,Florida,,113,73,31.2,2.6,5.4,.489,2.0,3.3,.589,0.7,2.1,.331,0.9,1.2,.739,0.8,2.3,2.6,2.7,1.5,0.3,1.5,1.4,6.9,,8.03
