,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
1080,Rich Manning,Rich Manning,PF,29.0,1.9,0.2,0.1,0.2,3.7
1081,Adonis Jordan,Adonis Jordan,PG,6.0,1.0,3.2,0.0,0.2,2.5
1082,Josh Grant,Josh Grant,PF,53.0,1.7,0.5,0.3,0.2,3.0
1083,Bryon Russell,Bryon Russell,SF,67.0,2.7,0.8,1.0,0.3,5.0
1084,Richard Petruška,Richard Petruška,C,22.0,1.4,0.0,0.1,0.1,2.4
1085,Chris Whitney,Chris Whitney,PG,40.0,0.7,1.3,0.3,0.0,1.8
1086,Kevin Thompson,Kevin Thompson,C,14.0,0.9,0.2,0.0,0.1,0.9
1087,Mike Peplowski,Mike Peplowski,C,55.0,3.1,0.4,0.3,0.5,3.2
1088,Shaquille O'Neal,Shaquille O'Neal,C,81.0,13.9,1.9,0.7,3.5,23.4
1089,Alonzo Mourning,Alonzo Mourning,C,78.0,10.3,1.0,0.3,3.5,21.0
1090,Christian Laettner,Christian Laettner,PF,81.0,8.7,2.8,1.3,1.0,18.2
1091,Jim Jackson,Jim Jackson,SF,28.0,4.4,4.7,1.4,0.4,16.3
1092,LaPhonso Ellis,LaPhonso Ellis,PF,82.0,9.1,1.8,0.9,1.4,14.7
1093,Tom Gugliotta,Tom Gugliotta,PF,81.0,9.6,3.8,1.7,0.4,14.7
1094,Walt Williams,Walt Williams,SF,59.0,4.5,3.0,1.1,0.5,17.0
1095,Todd Day,Todd Day,SG,71.0,4.1,1.6,1.1,0.7,13.8
1096,Clarence Weatherspoon,Clarence Weatherspoon,SF,82.0,7.2,1.8,1.0,0.8,15.6
1097,Adam Keefe,Adam Keefe,PF,82.0,5.3,1.0,0.7,0.2,6.6
1098,Robert Horry,Robert Horry,SF,79.0,5.0,2.4,1.0,1.1,10.1
1099,Harold Miner,Harold Miner,SG,73.0,2.0,1.0,0.5,0.1,10.3
1100,Bryant Stith,Bryant Stith,SG,39.0,3.2,1.3,0.6,0.1,8.9
1101,Malik Sealy,Malik Sealy,SF,58.0,1.9,0.8,0.6,0.1,5.7
1102,Anthony Peeler,Anthony Peeler,SG,77.0,2.3,2.2,0.8,0.2,10.4
1103,Randy Woods,Randy Woods,PG,41.0,0.3,1.0,0.3,0.0,1.7
1104,Doug Christie,Doug Christie,SG,23.0,2.2,2.3,1.0,0.2,6.2
1105,Tracy Murray,Tracy Murray,SF,48.0,1.7,0.2,0.2,0.1,5.7
1106,Don MacLean,Don MacLean,PF,62.0,2.0,0.6,0.2,0.1,6.6
1107,Hubert Davis,Hubert Davis,SG,50.0,1.1,1.7,0.4,0.1,5.4
1108,Jon Barry,Jon Barry,SG,47.0,0.9,1.4,0.7,0.1,4.4
1109,Oliver Miller,Oliver Miller,C,56.0,4.9,2.1,0.7,1.8,5.6
1110,Lee Mayberry,Lee Mayberry,PG,82.0,1.4,3.3,0.7,0.1,5.2
1111,Latrell Sprewell,Latrell Sprewell,SG,77.0,3.5,3.8,1.6,0.7,15.4
1112,Elmore Spencer,Elmore Spencer,C,44.0,1.4,0.2,0.2,0.4,2.4
1113,Dave Johnson,Dave Johnson,SG,42.0,1.1,0.3,0.2,0.0,3.7
1114,Byron Houston,Byron Houston,PF,79.0,4.0,0.9,0.6,0.5,5.3
1115,Marlon Maxey,Marlon Maxey,PF,43.0,3.8,0.3,0.3,0.4,5.4
1116,P.J. Brown,P.J. Brown,C,79.0,6.2,1.2,0.9,1.2,5.7
1117,Sean Rooks,Sean Rooks,C,72.0,7.4,1.3,0.5,1.1,13.5
1118,Reggie Smith,Reggie Smith,C,23.0,0.9,0.0,0.2,0.0,1.0
1119,Brent Price,Brent Price,PG,68.0,1.5,2.3,0.8,0.0,3.9
1120,Corey Williams,Corey Williams,PG,35.0,0.9,0.7,0.1,0.1,2.3
1121,Chris Smith,Chris Smith,SG,80.0,1.2,2.5,0.6,0.2,4.3
1122,Tony Bennett,Tony Bennett,PG,75.0,0.8,1.8,0.4,0.0,3.7
1123,Duane Cooper,Duane Cooper,PG,65.0,0.8,2.3,0.3,0.0,2.4
1124,Isaiah Morris,Isaiah Morris,SF,25.0,0.5,0.2,0.1,0.0,2.2
1125,Elmer Bennett,Elmer Bennett,PG,4.0,0.3,0.8,1.0,0.0,3.8
1126,Litterial Green,Litterial Green,PG,52.0,0.7,2.2,0.4,0.1,4.5
1127,Popeye Jones,Popeye Jones,PF,81.0,7.5,1.2,0.8,0.4,5.8
1128,Matt Geiger,Matt Geiger,C,48.0,2.5,0.3,0.3,0.4,4.5
1129,Chris King,Chris King,SF,15.0,1.0,0.7,0.3,0.0,3.7
1130,Robert Werdann,Robert Werdann,C,28.0,1.9,0.3,0.2,0.1,1.9
1131,Darren Morningstar,Darren Morningstar,C,23.0,3.5,0.7,0.6,0.1,4.2
1132,Brian Davis,Brian Davis,SF,68.0,0.8,0.3,0.2,0.1,1.9
1133,Matt Fish,Matt Fish,C,26.0,3.2,0.7,0.6,0.3,4.7
1134,Matt Steigenga,Matt Steigenga,SF,2.0,1.5,1.0,0.5,0.5,1.5
1135,Larry Johnson,Larry Johnson,PF,82.0,11.0,3.6,1.0,0.6,19.2
1136,Kenny Anderson,Kenny Anderson,PG,64.0,2.0,3.2,1.0,0.1,7.0
1137,Billy Owens,Billy Owens,PF,80.0,8.0,2.4,1.1,0.8,14.3
1138,Dikembe Mutombo,Dikembe Mutombo,C,71.0,12.3,2.2,0.6,3.0,16.6
1139,Steve Smith,Steve Smith,SG,61.0,3.1,4.6,1.0,0.3,12.0
1140,Doug Smith,Doug Smith,PF,76.0,5.1,1.7,0.8,0.4,8.8
1141,Luc Longley,Luc Longley,C,66.0,3.9,0.8,0.5,1.0,4.3
1142,Mark Macon,Mark Macon,SG,76.0,2.9,2.2,2.0,0.2,10.6
1143,Stacey Augmon,Stacey Augmon,SG,82.0,5.1,2.5,1.5,0.3,13.3
1144,Bison Dele,Bison Dele,PF,48.0,5.7,0.7,0.9,1.1,9.1
1145,Terrell Brandon,Terrell Brandon,PG,82.0,2.0,3.9,1.0,0.3,7.4
